"ID","Malt","PPG","PotentialSG","Manufacturer","Moisture","ExtractLKG","ExtractPercent","ColourEBCIMin","ColourEBCIMax","ColourEBCEMin","ColourEBCEMax","ColourLovibondMin","ColourLovibondMax","Nitrogen","Protien","RatioSNRMin","RatioSNRMax","RatioKIMin","RatioKIMax","RatioSTMin","RatioSTMax","IDP","EDPWK","ADPLinter","Max","Characteristics","Usage"
"1","Pale Ale","38","1.038","1","4","308","81.5","4","6","5","7","2","3","1.7","10.6","36","42","40","45","40","45","40","140","45","100","","UK Pale Ale or Bitter"
"2","Pale Ale Low Colour","38","1.038","1","4.5","308","81.5","3","4","3.5","4.5","1.5","2","1.7","10.6","36","42","40","45","40","45","40","140","45","0","","UK Pale Ale or Bitter"
"3","Maris Otter Pale Ale","38","1.038","1","4","308","81.5","4","6","5","7","2","3","1.55","9.7","36","42","40","45","40","45","40","140","45","0","","UK Pale Ale or Bitter"
"4","Maris Otter Blend","38","1.038","1","4","308","81.5","4","6","5","7","2","3","1.55","9.7","36","42","40","45","40","45","40","140","45","0","","UK Pale Ale or Bitter"
"5","Maris Otter Low Colour","38","1.038","1","4.5","308","81.5","3","4","3.5","4.5","2","2","1.55","9.7","36","42","40","45","40","45","40","140","45","0","","UK Pale Ale or Bitter"
"6","Scottish Ale","38","1.038","1","4","308","81.5","3","4","3.5","4.5","2","2","1.6","10","36","42","40","45","40","45","40","140","45","0","",""
"7","Pilsen/Lager","37","1.037","1","4.5","306","81","2","3","3","4","1","2","1.7","10.6","35","40","38","42","38","42","60","215","65","100","","Traditionally in the UK, Crystal malt of colour 70 -80 ?ASBC has been used at about 5% of the grist to give the characteristic colour and flavour of UK Bitters and Pale Ales. Adjustment of the amount and/or colour of the Crystal malt may brew some very distinctive beers, but this may require some careful experimentation. Crystal malts have been used in the brewing of Lager beers, but, again, considerable care is required to ensure that whilst a distinctive flavour is achieved, the crystal flavour and colour does not become too dominant. In all beers they can help prevent the formation of oxidation flavours. Crystal malts have little or no enzymatic power."
"8","Vienna","36","1.036","1","3.5","305","80.5","6","8","8","10","3","4","1.7","11","36","42","40","46","40","46","42","145","50","90","",""
"9","Munich","37","1.037","1","3.5","304","80","7","10","10","15","4","6","1.7","11","36","42","40","44","40","44","35","120","40","80","It is used in the production of dark Dunkel Lagers, which are dark in colour with a brownish tinge. In such beers Munich malt is only a part of the grist, along with pale Lager malt and perhaps Caramalt.",""
"10","Dextrin","33","1.033","1","7","250","70","2.5","4","3","4.5","1.5","2","1.75","11","0","0","0","0","0","0","0","0","0","0","",""
"11","Amber","35","1.035","1","4.5","275","77","80","100","85","105","45","60","1.75","11","0","0","0","0","0","0","0","0","0","20","A traditional British specification, amber malt has a light, biscuity, dry flavour and can be used to produce some Bitter and Mild Ales and sweet Stouts in the UK, as well as the traditional London Porters that have come back into favour recently. It is used to colour and flavour darker ales and to add some viscosity. The flavour is quite intense and caution in the use of this material is required.","Bitter, Mild Ales, sweet Stouts, London Porters"
"12","Brown","33","1.033","1","4.5","275","77","100","120","110","130","50","70","1.75","11","0","0","0","0","0","0","0","0","0","0","malt imparts a very bitter, burnt flavour to beer.",""
"13","Pale Chocolate","35","1.035","1","0","0","0","450","550","500","600","280","340","0","0","0","0","0","0","0","0","0","0","0","0","",""
