"ID","Malt","PPG","EBC","Weyerman (DE)","Castle/Chateau (BE)","Muntons (UK)","Crisp (UK)","Briess (US)","Fawcett (UK)","Baird (UK)","Dingermans (BE)","Warminster (UK)","Swaen","Simpson (UK)"
"1","2-Row Pale Ale","37","7.5","Pilsn+J3+B2:I66","Pilsen 2RS","Lager","Best Pale","2-Row Pale Ale","Lager","","","","","Best Pale"
"2","Abbey","36","40","","Abbey","","","","","","","","",""
"3","Acidulated Malt","27","5","Acidulated Malt","Acid","","","","","","","","",""
"4","Amber","35","45","","","Amber","Amber","","Amber","","","Amber","",""
"5","Black","33","1400","","","Black","Black","","Black","","","Black","",""
"6","Black Patent","32","1300","","","Black","Black","","Black","","","","",""
"7","Bohemian Pilsner","37","4","Bohemian Pilsner","Pilsen 2RS","Larger","Lager","Pilsner","Lager","","Pilsen","","","Finest Lager"
"8","Brown","33","175","","","","Brown","","Brown","","","Brown","",""
"9","CaraAmber","36","60","CaraAmber","Cara Arome*","","","Victory","","","","","",""
"10","CaraAroma","36","350","CaraAroma","Cara Caf?*","Dark Crystal","","Crystal 120","Dark Crystal II","Dark Crystal","Special B","","","Double Roast Crystal"
"11","CaraBelge","33","30","CaraBelge","","","","","","","","","",""
"12","CaraBohemian","33","170","CaraBohemian","","","","Crystal 80","Dark Crystal","Crystal","","Crystal 200","",""
"13","Carafa Special Type 1","32","800","Carafa Special Type 1","Chocolat","","","","Pale Chocolate","","","","",""
"14","Carafa Special Type 2","32","1100","Carafa Special Type 2","Black","Chocolate","Chocolate","","Chocolate","","","","",""
"15","Carafa Special Type 3","32","1300","Carafa Special Type 3","Black","Black","Black","Black Patent","Black","","","","",""
"16","CaraFoam","","","","","","CaraPils","","","","","","",""
"17","CaraGold","36","110","","","","CaraGold","","","","","CaraGold","",""
"18","CaraHell","36","20","CaraHell","Cara Blonde","CaraMalt","CaraMalt","Crystal 10","CaraMalt","Light Carastan","","","",""
"19","CaraMalt","35","25","CaraHell","","CaraMalt","CaraMalt","","CaraMalt","","","CaraMalt","",""
"20","Caramel Wheat","37","110","Caramel Wheat","","","","","","","","","",""
"21","CaraMunich I","36","80","CaraMunich I","CaraGold*","Crystal 110","","Crystal 30","Pale Crystal","CaraStan","","Crystal 100","",""
"22","CaraMunich II","36","110","CaraMunich II","CaraGold","","","Crystal 40","Crystal","","Cara 45","Crystal 100","","Crystal Light"
"23","CaraMunich III","37","140","CaraMunich III","Crystal","Crystal 110","Light Crystal","Crystal 60","Crystal II","","","Crystal 140","","Crystal Medium"
"24","CaraPils","33","2.5","CaraPils","Cara Clair","","","","","","","","",""
"25","CaraRed","36","40","CaraRed","Cara Ruby","","","Crystal 20","","","CaraVienne","","","Premium English Caramalt"
"26","Chocolate","33","1070","Chocolate","","","Chocolate","","Chocolate","","","Chocolate","",""
"27","Crystal","36","150","CaraMunich II","","","","","Crystal","","","","",""
"28","Crystal 120","32","105","Special W","","Crystal 240","Medium Crystal","Crystal 120","Dark Crystal","Dark Crystal","Special B","Crystal 400","","Double Roast Crystal"
"29","Crystal 150","33","450","CaraAroma","Caf?","Dark Crystal","Dark Crystal","Crystal 150","Dark Crystal","","","Crystal 400","","Crystal Extra Dark"
"30","Crystal Rye","32","140","","","","","","Crystal Rye","","","Crystal Rye","",""
"31","Crystal Wheat","32","120","","","","","","Crystal Wheat","","","","",""
"32","Dark Crystal 350","33","450","CaraAroma","","Dark Crystal","Dark Crystal","","Dark Crystal","","","Crystal 400","","Very Dark Crystal"
"33","Dark Wheat","39","15","Dark Wheat","Wheat Munich","","","","","","","","",""
