"ID","RecipeID","Weight","MaltGenericID","MaltID"
"3","11","0.25","19","69"
"4","3","4.06","34","276"
"5","3","0.31","19","69"
"6","3","0.23","28","70"
"7","3","0.094","32","73"
"8","4","5.36","34","276"
"9","4","0.071","32","73"
"10","4","0.18","15","174"
"11","4","0.54","19","69"
"12","4","0.25","26","78"
"13","4","0.36","64","81"
"14","4","0.54","35","0"
"15","5","3.78","34","276"
"16","5","0.31","19","69"
"17","5","0.31","40","65"
"18","6","4.5","34","276"
"19","6","0.55","19","69"
"20","6","0.33","40","65"
"21","6","1.35","35","0"
"22","6","0.18","13","176"
"23","6","0.33","15","174"
"24","6","0.55","29","71"
"25","2","4.38","34","276"
"27","9","3.85","38","57"
"30","10","4.02","37","58"
"33","11","3.3","37","58"
"34","11","0.2","19","69"
"35","11","0.4","40","65"
"38","1","5.3","34","276"
"39","8","6.5","34","276"
"40","8","0.86","19","69"
"41","8","0.5","40","65"
"42","8","2","35","0"
"43","8","0.86","29","71"
"44","8","0.25","13","176"
"45","8","0.5","15","174"
"46","12","2.16","34","276"
"47","12","0.63","64","81"
"48","12","0.31","27","71"
"50","12","0.19","53","266"
"52","12","0.13","10","179"
"54","13","5.8","34","276"
"55","14","4.66","36","63"
"58","15","3.25","37","58"
"59","15","0.2","19","69"
"60","15","0.4","40","65"
"62","16","4.5","34","276"
"63","16","0.5","40","65"
"64","16","0.05","4","75"
"65","16","0.08","29","71"
"66","17","8","34","276"
"68","18","1.13","36","63"
"69","18","0.28","19","69"
"70","18","2.7","40","65"
"71","18","0.23","26","78"
"72","19","2.5","64","81"
"73","19","2.06","34","276"
"74","20","5","44","88"
"75","20","0.63","19","69"
"76","20","0.25","29","71"
"77","21","6.3","34","276"
"78","21","0.38","19","69"
"79","21","0.29","29","71"
"80","22","7.5","34","276"
"81","22","0.63","29","71"
"82","22","0.31","26","78"
"83","22","0.31","53","266"
"84","23","10","34","276"
"85","23","1.88","19","69"
"86","23","1.25","40","65"
"87","23","0.63","4","75"
"88","24","3.63","34","276"
"89","24","0.31","19","69"
"90","24","0.31","40","65"
"91","25","5.73","34","276"
"92","25","0.52","4","75"
"93","25","0.52","27","71"
"94","26","2","34","276"
"95","26","0.31","64","81"
"96","26","0.31","40","65"
"97","26","0.63","19","69"
"98","26","0.31","46","130"
"99","26","0.13","28","70"
"100","26","0.081","32","73"
"101","26","0.081","4","75"
"102","26","0.081","26","78"
"103","27","2.56","34","276"
"104","27","0.88","19","69"
"105","27","0.63","40","65"
"106","27","0.38","29","71"
"107","27","0.13","29","71"
"108","28","7.6","34","276"
"109","28","1.75","29","71"
"110","28","0.5","26","78"
"111","28","0.5","53","266"
"112","29","7.6","34","276"
"113","29","1.75","29","71"
"114","29","0.5","26","78"
"115","29","0.5","53","266"
"116","30","11.25","34","276"
"117","30","0.5","29","71"
"118","30","0.5","53","266"
"119","30","0.5","26","78"
"120","32","8.13","34","276"
"121","32","0.16","26","78"
"122","32","0.48","15","174"
"123","33","0.13","40","65"
"124","33","0.19","19","69"
"125","33","0.06","29","71"
"126","33","0.03","4","75"
"127","33","0.13","29","71"
"128","33","0.06","26","78"
"129","33","0.06","64","81"
"130","33","0.13","57","301"
"131","34","3.25","34","276"
"132","34","0.25","19","69"
"133","34","0.38","40","65"
"134","35","3.44","37","58"
"135","35","0.63","19","69"
"136","35","0.31","29","71"
"137","35","0.31","13","176"
"138","35","0.31","15","174"
"139","36","4.15","34","276"
"140","36","1.12","19","69"
"141","36","0.56","29","71"
"142","36","0.38","26","78"
"143","36","0.31","53","266"
"144","36","0.63","64","81"
"145","37","7.4","34","276"
"146","37","0.38","19","69"
"147","37","0.29","29","71"
"148","38","7.4","34","276"
"149","38","0.38","19","69"
"150","38","0.29","29","71"
"151","39","2.5","37","58"
"152","39","1.25","19","69"
"153","39","0.61","40","65"
"154","39","0.28","29","71"
"155","39","0.2","32","73"
"156","40","2.8","34","276"
"157","40","0.63","19","69"
"158","40","0.31","28","70"
"159","42","5.63","40","65"
"160","42","1.88","64","81"
"161","42","1.25","19","69"
"162","42","0.63","27","71"
"163","42","0.63","29","71"
"164","42","0.31","26","78"
"165","42","0.13","50","0"
"166","42","0.13","4","75"
"167","42","0.13","8","76"
"168","43","8.13","44","88"
"169","43","0.28","29","71"
"170","43","0.56","19","69"
"171","44","5.3","44","88"
"172","45","11.25","37","58"
"173","45","0.31","19","69"
"174","45","0.63","29","71"
"175","45","0.44","29","71"
"176","46","6.25","34","276"
"177","46","0.25","29","71"
"178","46","0.46","19","69"
"179","47","10","44","88"
"180","47","0.94","64","81"
"181","47","1.88","35","0"
"182","47","1.25","32","73"
"183","47","0.94","26","78"
"184","47","0.94","5","79"
"185","48","2.63","34","276"
"186","48","0.88","40","65"
"187","48","0.38","29","71"
"188","48","0.31","59","264"
"189","48","0.44","13","176"
"190","48","0.38","35","0"
"191","48","0.31","60","82"
"192","49","1.75","34","276"
"193","49","0.44","40","65"
"194","49","0.5","29","71"
"195","49","0.56","64","81"
"196","49","0.56","35","0"
"197","49","0.13","15","174"
"198","49","0.25","4","75"
"199","49","0.63","58","262"
"200","31","5.3","34","276"
"201","50","10","37","58"
"202","50","1.88","13","176"
"203","50","1.88","35","0"
"204","50","0.94","29","71"
"205","50","0.094","32","73"
"206","51","9.64","34","276"
"207","51","1.5","13","176"
"208","51","0.56","35","0"
"209","51","0.25","58","0"
"210","51","0.25","29","71"
"211","52","10","34","276"
"212","52","0.94","13","0"
"213","52","0.94","15","174"
"214","52","1.88","35","0"
"215","52","1.25","67","285"
"216","52","0.63","68","72"
"217","53","6.86","37","58"
"218","53","0.93","19","69"
"219","54","6.83","34","276"
"220","54","0.13","29","71"
"221","54","0.25","19","69"
"222","55","6.38","34","276"
"223","55","0.13","29","71"
"224","55","0.25","19","69"
"225","56","6.38","34","276"
"226","56","0.13","29","71"
"227","56","0.25","19","69"
"228","57","6.38","34","276"
