"ID","Yeast","Wyeast","WhiteLabs","OtherDry","IsDry","Attenuation"
"1","Brewferm Blanche","","WLP-410","","Y","80"
"2","Brewfrem Lager","2565","WLP-003","","Y","80"
"3","Coopers Ale","","WLP-009","","Y","80"
"4","Danstar Belle Saison","3724","WLP-565","M29","Y","83"
"5","Danstar BRY-97","1056","WLP-001","Safale US-05","Y","75"
"6","Danstar Munich Wheat","3638","WLP-351","","Y","85"
"7","Danstar Nottingham","","WLP-039","","Y","80"
"8","Danstar Windsor","1028","WLP-013","","Y","70"
"10","M15 Empire Ale","1968","WLP-002","Munton's Gold","Y","72"
"11","M20 Bavarian Wheat","3638","WLP-830","","Y","72"
"12","M21 Belgian Wit","3944","WLP-400","","Y","72"
"13","M29 French Saison","3724","WLP-565","Belle Saison","Y","87"
"14","M31 Belgian Tripel","3787","WLP-530","","Y","85"
"16","M36 Liberty Bell Ale","1272","WLP-051","","Y","76"
"18","M41 Belgian Ale","3724","WLP-565","","Y","85"
"22","M42 New World Strong Ale","","WLP-090","","Y","79"
"23","M44 US West Coast","1764","","Safale US-05","Y","81"
"24","M47 Belgian Abbey","1762","WLP-540","Belle Saison","Y","75"
"25","M54 Californian Lager","2112","WLP-810","","Y","79"
"26","M76 Bavarian Lager","2206","WLP-820","Saflager S-23 Continental Lager","Y","77"
"28","M84 Bohemian Lager","2124","WLP-830","Saflarger 34/70","Y","74"
"29","Muton's Ale Yeast","1968","WLP-002","","Y","80"
"30","SafAle BE-134 Belgian Saison","","","","Y","90"
"31","SafAle BE-256 Belgian Abbey","","","","Y","82"
"32","SafAle F-2 Refermentation","","","","Y","80"
"33","SafAle K-97 German Ale/Belgian Wheat","1007","WLP-036","","Y","81"
"34","SafAle S-04 English Ale","1098","WLP-007","","Y","75"
"35","SafAle US-05 American Ale","1056","WLP-001","M44","Y","81"
"36","SafAle S-33 British Ale","1187","WLP-006","","Y","70"
"38","SafAle T-58 Dry Ale (Belgian Saison)","3724","WLP-565","","Y","70"
"40","SafAle WB-06 Wheat Beer","3333","WLP-380","","Y","86"
