"ID","YeastID","YeastSubID","IsWetDry","IsManuSub","IsSameManu"
"1","1","78","Y","N","N"
"2","78","1","Y","N","N"
"3","110","71","N","N","Y"
"4","71","88","N","Y","N"
"5","4","74","Y","N","N"
"6","74","4","Y","N","N"
"7","4","93","Y","N","N"
"8","93","4","Y","N","N"
"9","4","13","N","Y","N"
"10","13","4","N","Y","N"
"11","3","85","Y","N","N"
"12","5","35","N","Y","N"
"13","35","5","N","Y","N"
"14","5","55","Y","N","N"
"15","55","5","Y","N","N"
"16","5","80","Y","N","N"
"17","46","66","Y","N","N"
"18","66","46","Y","N","N"
"19","46","81","Y","N","N"
"20","81","46","Y","N","N"
"21","6","56","Y","N","N"
"22","56","6","Y","N","N"
"23","6","76","Y","N","N"
"24","76","6","Y","N","N"
"25","76","56","N","Y","N"
"26","56","76","N","Y","N"
"27","7","90","Y","N","N"
"28","90","7","Y","N","N"
"29","8","108","Y","N","N"
"30","108","8","Y","N","N"
"31","8","86","Y","N","N"
"32","86","8","Y","N","N"
"33","86","108","N","Y","N"
"34","108","86","N","Y","N"
"35","85","3","Y","N","N"
"36","8","62","Y","N","N"
"37","62","8","Y","N","N"
"38","13","74","Y","N","N"
"39","74","13","Y","N","N"
"40","13","93","Y","N","N"
"41","93","13","Y","N","N"
"42","4","99","Y","N","N"
"43","4","60","Y","N","N"
"44","35","55","Y","N","N"
"45","35","80","Y","N","N"
"46","55","35","Y","N","N"
"47","55","80","N","Y","N"
"48","80","5","Y","N","N"
"49","80","35","Y","N","N"
"50","80","55","N","Y","N"
"51","86","62","N","Y","N"
"52","108","62","N","N","Y"
"53","62","108","N","N","Y"
"54","88","33","Y","N","N"
"55","8","87","Y","N","N"
"56","87","8","Y","N","N"
"57","87","108","N","Y","N"
"58","87","62","N","Y","N"
"59","87","86","N","N","Y"
"60","10","66","Y","N","N"
"61","10","81","Y","N","N"
"62","10","109","N","Y","N"
"63","66","10","Y","N","N"
"64","66","81","N","Y","N"
"65","66","109","Y","N","N"
"66","81","10","Y","N","N"
"68","81","66","N","Y","N"
"69","81","109","Y","N","N"
"70","109","10","N","Y","N"
"71","109","66","Y","N","N"
"72","109","81","Y","N","N"
"73","11","56","Y","N","N"
"74","11","76","Y","N","N"
"75","72","11","Y","N","N"
"76","72","95","N","Y","N"
"77","95","11","Y","N","N"
"78","95","72","N","Y","N"
"79","12","57","Y","N","N"
"80","12","96","Y","N","N"
"81","57","12","Y","N","N"
"82","57","96","N","Y","N"
"83","96","12","Y","N","N"
"84","96","57","N","Y","N"
"85","4","54","Y","N","N"
"87","4","18","N","Y","N"
"88","4","77","Y","N","N"
"89","4","24","N","Y","N"
"90","93","24","Y","N","N"
"91","93","74","N","Y","N"
"92","14","75","Y","N","N"
"93","14","98","Y","N","N"
"94","23","35","N","Y","N"
"95","75","98","N","Y","N"
"96","98","14","Y","N","N"
"97","98","75","N","Y","N"
"99","14","63","Y","N","N"
"100","14","102","Y","N","N"
"101","23","55","Y","N","N"
"102","63","102","N","Y","N"
"103","23","65","Y","N","N"
"104","102","63","N","Y","N"
"105","63","98","N","Y","N"
"106","63","75","N","N","Y"
"107","75","63","N","N","Y"
"108","75","102","N","Y","N"
"109","98","63","N","Y","N"
"110","98","102","N","N","Y"
"111","102","75","N","Y","N"
"112","102","98","N","N","Y"
"113","16","61","Y","N","N"
"114","16","62","Y","N","N"
"115","16","87","Y","N","N"
"116","16","91","Y","N","N"
"117","61","16","Y","N","N"
"118","61","62","N","N","Y"
"119","61","87","N","Y","N"
"120","61","91","N","Y","N"
"121","62","16","Y","N","N"
"122","62","61","N","N","Y"
"123","62","87","N","Y","N"
"124","62","91","N","Y","N"
"125","87","16","Y","N","N"
"126","87","61","N","Y","N"
"127","87","62","N","Y","N"
"128","87","91","N","N","Y"
"129","91","16","Y","N","N"
"130","91","61","N","Y","N"
"131","91","62","N","Y","N"
"132","91","87","N","N","Y"
"135","18","74","Y","N","N"
"136","18","54","Y","N","N"
"137","18","60","Y","N","N"
"138","18","77","Y","N","N"
"139","18","97","Y","N","N"
"140","18","100","Y","N","N"
"141","18","93","Y","N","N"
"142","54","18","Y","N","N"
"143","54","60","N","N","Y"
"144","54","74","N","N","Y"
"145","54","77","N","Y","N"
"146","54","93","N","Y","N"
"147","54","97","N","Y","N"
"148","54","100","N","Y","N"
"149","60","18","Y","N","N"
"150","60","54","N","N","Y"
"151","60","74","N","N","Y"
"152","60","77","N","Y","N"
"153","60","93","N","Y","N"
"154","60","97","N","Y","N"
"155","60","100","N","Y","N"
"156","74","18","Y","N","N"
"157","74","54","N","N","Y"
"158","74","60","N","N","Y"
"159","74","77","N","Y","N"
"160","74","93","N","Y","N"
"161","74","97","N","Y","N"
"162","74","100","N","Y","N"
"163","77","18","Y","N","N"
"164","77","54","N","Y","N"
"165","77","60","N","Y","N"
"166","77","74","N","Y","N"
"167","77","93","N","N","Y"
"168","77","97","N","N","Y"
"169","77","100","N","N","Y"
"170","93","18","Y","N","N"
"171","93","54","N","Y","N"
"172","93","60","N","Y","N"
"173","4","97","Y","N","N"
"174","93","77","N","N","Y"
"175","93","97","N","N","Y"
"176","93","100","N","N","Y"
"177","97","18","Y","N","N"
"178","97","54","N","Y","N"
"179","97","60","N","Y","N"
"180","97","74","N","Y","N"
"181","97","77","N","N","Y"
"182","97","93","N","N","Y"
"183","97","100","N","N","Y"
"184","100","18","Y","N","N"
"185","100","54","N","Y","N"
"186","100","60","N","Y","N"
"187","100","74","N","Y","N"
"188","100","77","N","N","Y"
"189","100","93","N","N","Y"
"190","100","97","N","N","Y"
"191","22","92","Y","N","N"
"192","92","22","Y","N","N"
"193","55","23","Y","N","N"
"194","65","23","Y","N","N"
"195","24","64","Y","N","N"
"196","24","99","Y","N","N"
"197","24","4","N","Y","N"
"198","4","100","Y","N","N"
"199","13","18","N","N","Y"
"200","13","24","N","N","Y"
"201","13","54","Y","N","N"
