ID,RecipeID,Weight,HopID,StepID,HopTypeID
4,9,17.5,19,2,1
5,1,27.5,19,3,1
6,1,17.5,83,2,1
7,1,17.5,83,3,1
8,1,17.5,44,3,1
9,2,20,19,1,1
10,2,20,19,2,1
11,2,27.5,19,3,1
12,2,47.5,19,4,1
13,2,12.5,2,1,1
14,2,12.5,2,2,1
15,2,12.5,2,3,1
16,2,37.5,2,4,1
17,2,12.5,59,3,1
18,2,37.5,59,4,1
19,2,12.5,45,3,1
20,2,20,45,4,1
21,2,37.5,13,4,1
22,2,10,3,4,1
23,3,25,3,1,1
24,3,12.5,3,2,1
25,3,50,3,3,1
26,3,12.5,10,3,1
27,4,14.3,21,1,1
28,4,21.4,21,3,1
29,4,14.3,82,1,1
30,4,21.4,82,3,1
31,4,21.4,13,3,1
32,5,12.5,13,1,1
33,5,25,13,3,1
34,5,25,19,3,1
35,5,12.5,44,3,1
36,5,12.5,57,1,1
37,6,75,21,1,1
38,6,25,21,2,1
39,6,25,57,3,1
40,6,25,31,3,1
43,9,25,3,1,1
44,9,20,59,3,1
45,9,25,3,3,1
46,9,20,83,3,1
47,9,50,59,4,1
48,9,50,3,4,1
50,9,20,84,3,1
52,1,17.5,2,1,1
53,1,15,19,1,1
55,8,75,21,1,1
56,8,25,21,2,1
57,8,25,57,3,1
58,8,25,31,3,1
59,10,2,45,1,1
60,10,5,45,3,1
61,10,2.5,3,3,1
62,12,15.5,85,1,1
63,12,10.2,85,1,1
64,12,6.1,44,2,1
65,12,12.5,85,3,1
66,12,25,44,3,1
67,12,12.5,3,3,1
68,13,15,2,1,1
69,13,17.5,19,1,1
70,13,17.5,83,2,1
71,13,17.5,19,2,1
72,13,17.5,2,3,1
73,13,27.5,19,3,1
74,13,17.5,83,3,1
75,13,17.5,44,3,1
76,14,12.5,57,1,1
77,14,12.5,13,1,1
78,14,25,13,3,1
79,14,25,19,3,1
80,14,12.5,44,3,1
81,15,13.8,3,1,1
82,15,13.8,59,1,1
83,15,26.3,3,3,1
84,15,18.8,44,3,1
85,16,30,3,1,1
86,16,10,3,3,1
87,16,10,12,3,1
88,17,66.7,39,3,1
89,49,18.5,31,1,1
90,49,12.5,66,1,1
91,49,6.5,35,1,1
92,48,5,39,1,1
93,48,25,31,2,1
94,48,25,31,3,1
95,48,25,60,3,1
96,47,75,31,1,1
97,47,74,33,1,1
98,47,62.5,33,3,1
99,46,30,21,1,1
100,46,40,21,2,1
101,46,40,17,2,1
102,46,40,59,2,1
103,46,40,21,3,1
104,46,40,17,3,1
105,46,40,59,3,1
106,46,60,21,4,1
107,46,70,17,4,1
108,46,70,59,4,1
109,45,18.8,19,1,1
110,45,18.8,17,1,1
111,45,12.5,19,2,1
112,45,12.5,17,2,1
113,45,62.5,19,3,1
114,45,62.5,17,3,1
115,45,62.5,2,3,1
116,45,17.5,19,4,1
117,45,175,17,4,1
118,45,150,2,4,1
119,44,25,12,1,1
120,44,25,12,2,1
121,44,25,12,3,1
122,43,50,21,1,1
123,43,50,17,1,1
124,43,12.5,21,2,1
125,43,12.5,17,2,1
126,43,37.5,21,0,1
127,44,37.5,17,3,1
128,44,37.5,59,3,1
129,42,25,57,1,1
130,42,31.3,31,1,1
131,40,25,13,1,1
132,40,18.8,13,3,1
133,40,18.8,17,3,1
134,40,25,3,3,1
135,40,31.5,59,3,1
136,39,15,45,1,1
137,39,10,3,3,1
138,39,30,45,3,1
139,38,30.8,21,1,1
140,38,19.2,21,1,1
141,38,19.2,21,2,1
142,38,19.2,17,2,1
143,38,19.2,59,2,1
144,38,19.2,21,3,1
145,38,19.2,17,3,1
146,38,19.2,59,3,1
147,38,115.4,17,4,1
148,38,96.2,21,4,1
149,38,96.2,59,4,1
150,38,76.9,3,4,1
151,37,30.8,21,1,1
152,37,19.2,21,1,1
153,37,19.2,21,2,1
154,37,19.2,17,2,1
155,37,19.2,59,2,1
156,37,19.2,21,3,1
157,37,19.2,17,3,1
158,37,19.2,59,3,1
159,37,115.4,17,4,1
160,37,96.2,21,4,1
161,37,96.2,59,4,1
162,37,76.9,3,4,1
163,36,31.1,21,1,1
164,36,12.5,21,2,1
165,36,12.5,59,2,1
166,36,12.5,19,2,1
167,36,25,21,3,1
168,36,25,59,3,1
169,36,25,19,3,1
170,36,87.5,21,4,1
171,36,87.5,59,4,1
172,36,75,19,4,1
173,35,43.8,13,1,1
174,35,81.3,13,3,1
175,35,250,13,4,1
176,34,5,59,1,1
177,34,6.3,3,1,1
178,34,2.5,59,2,1
179,34,5,3,2,1
180,34,5,44,2,1
181,34,12.5,59,3,1
182,34,12.5,3,3,1
183,34,12.5,44,3,1
184,34,12.5,59,4,1
185,34,12.5,3,4,1
186,34,12.5,44,4,1
187,33,6.3,3,1,1
188,33,5,59,1,1
189,33,6.3,17,1,1
190,33,6.3,3,2,1
191,33,2.5,59,2,1
192,33,6.3,17,2,1
193,33,5,3,3,1
194,33,5,59,3,1
195,33,12.5,13,3,1
196,33,12.5,2,3,1
197,33,50,17,4,1
198,33,50,13,4,1
199,33,25,2,4,1
200,33,25,59,4,1
201,33,37.5,21,4,1
202,32,12.5,39,1,1
203,32,31.3,86,1,1
204,32,12.5,39,2,1
205,32,12.5,86,3,1
206,32,25,17,3,1
207,32,25,3,3,1
208,31,17.5,2,1,1
209,31,15,19,1,1
210,31,17.5,83,2,1
211,31,17.5,19,2,1
212,31,17.5,2,3,1
213,31,27.5,19,3,1
214,31,17.5,83,3,1
215,31,17.5,44,3,1
216,31,30,19,4,1
217,30,37.5,19,1,1
218,30,37.5,82,1,1
219,30,37.5,19,2,1
220,30,37.5,82,2,1
221,30,25,82,3,1
222,30,25,31,3,1
223,30,25,19,3,1
224,29,37.5,19,1,1
225,29,37.5,82,1,1
226,29,37.5,19,2,1
227,29,37.5,82,2,1
228,29,25,82,3,1
229,29,25,31,3,1
230,29,25,19,3,1
231,28,37.5,19,1,1
232,28,37.5,82,1,1
233,28,37.5,19,2,1
234,28,37.5,82,2,1
235,28,25,82,3,1
236,28,25,31,3,1
237,28,25,19,3,1
238,27,2.5,13,1,1
239,27,2.5,3,1,1
240,27,2.5,45,2,1
241,27,12.5,3,3,1
242,27,12.5,45,3,1
