ID,RecipeID,Weight,OtherID,StepID
703,41,15,181,3
706,93,5,98,4
707,93,10,136,4
708,93,25,180,4
711,99,25,108,7
712,99,25,108,3
713,99,25,125,7
714,99,25,125,3
715,99,15,165,7
725,101,19.25,124,3
734,104,25,165,3
784,116,250,146,2
785,116,375,151,2
786,117,15,96,10
793,117,25,165,10
794,117,25,179,10
798,118,12.5,124,1
799,118,12.5,124,6
805,119,8.5,129,8
806,119,62.5,146,5
809,119,2.5,172,2
819,121,5.5,131,2
822,121,10,156,4
829,122,12.5,129,5
830,122,125,146,5
831,122,25,152,5
833,122,25,168,5
834,122,3.5,173,5
840,123,7.5,138,5
841,123,10,140,5
842,123,25,154,5
847,126,20,105,3
862,128,37.5,107,3
863,128,6.3,142,3
864,128,125,151,3
879,139,12.5,124,3
880,139,12.5,124,2
881,139,125,183,4
884,140,100,105,2
886,140,50,161,3
897,142,62.5,101,3
903,142,2.5,155,10
905,142,250,184,3
906,144,250,125,10
907,144,140,135,3
909,144,90,176,3
931,149,438,171,3
936,150,31,148,7
937,150,37.5,148,4
944,151,250,104,3
947,151,3.9,154,3
951,151,7.7,170,3
955,152,12.5,124,3
956,152,12.5,124,2
969,153,375,182,3
972,154,37.5,145,10
977,155,1,109,3
978,155,0.5,134,3
979,155,5,140,3
980,155,5,173,3
998,160,38.5,110,3
1015,166,25,124,3
1016,166,25,124,3
1018,166,250,135,3
1032,167,250,193,10
1033,171,12.5,125,3
1035,171,125,151,10
1038,172,25,108,3
1039,172,20,123,3
1040,172,50,123,10
1042,172,375,151,3
1056,175,2.5,147,3
1073,177,27.5,121,3
1109,183,20,133,7
1110,183,500,162,7
1121,184,2.5,147,3
1126,185,5,174,7
1147,190,38.5,165,10
1151,190,0,191,10
1154,191,0,118,10
1156,191,25,126,3
1159,191,1.5,139,3
1160,191,1250,146,3
1164,192,500,151,2
1172,194,62.5,106,10
1182,194,25,121,3
1183,194,25,156,3
1187,194,62.5,181,10
1189,195,65,100,10
1190,195,65,102,10
