ID,Name,BeerStylesID,Number,Source2,YeastID,ABV,IBU,OG,FG,EBC,HasAdjucts,MashTemp,MashTime,Fermentation,Description,Tips
1,Punk IPA 2007,68,1,DiyDog,55,6,60,1056,1010,17,N,65,75,19,"Our flagship beer that kick started
the craft beer revolution. This is
James and Martin's original take on
an American IPA, subverted with
punchy New Zealand hops.
Layered with new world hops to
create an all-out riot of grapefruit,
pineapple and lychee before a spiky,
mouth-puckering bitter finish.","While it may surprise you, this version of
Punk IPA isn't dry hopped but still packs
a punch! To make the best of the aroma
hops make sure they are fully submerged
and add them just before knock out for an
intense hop hit."
2,Punk IPA 2010,68,2,DiyDog,55,5.6,40,1053,1011,15,N,66,75,19,"Punk IPA. Amplified. In 2010
we finally got our paws on the
equipment we needed to dry hop
our beers. We focused all our energy
on dry hopping, amping up the
aroma and flavour of our flagship
beer to create a relentless explosion
of tropical fruits, and adding a hint
of Caramalt to balance out the
insane amount of hops.","To get the best possible profile from the
dry hops we recommend dry hopping post
fermentation for 5 days. Dry hops should
be added at cellar temperature. We find
14°C results in the most aromatic dry hop
profile."
3,The Physics,62,3,DiyDog,55,5,47,1048,1011,65,N,65,75,19,NULL,NULL
4,Riptide,66,4,DiyDog,61,8,45,1075,1014,240,Y,65,75,20,NULL,NULL
5,Hop Rocker,2,5,DiyDog,42,5.5,40,1052,1010,25,N,65,75,10,NULL,NULL
6,Paradox Islay,67,6,DiyDog,61,10,55,1090,1014,300,Y,65,90,21,NULL,NULL
8,Paradox Jura,67,7,DiyDog,61,10,55,1128,1014,300,Y,65,75,19,NULL,NULL
9,Peroxide Punk,62,8,DiyDog,55,4,40,1039,1009,18,N,65,75,19,NULL,NULL
10,Hype,61,9,DiyDog,61,4.1,65,1042,1010,17,N,65,75,19,NULL,NULL
11,Buzz,68,10,DiyDog,55,4.5,60,1044,1010,20,N,64,75,19,NULL,NULL
12,Edge,61,11,DiyDog,55,2.7,36,1033,1010,57,N,65,75,19,NULL,NULL
13,Storm,68,12,DiyDog,55,8,60,1082,1010,12,Y,65,75,19,NULL,NULL
14,Cult Lager,2,13,DiyDog,42,5.4,50,1049,1008,19,N,65,75,10,NULL,NULL
15,Trashy Blonde,61,14,DiyDog,55,4.1,41,1041,1010,15,N,69,75,18,NULL,NULL
16,Original Dogma,76,15,DiyDog,35,7.8,60,1071,1012,31,Y,64,75,21,NULL,NULL
17,AB:03,43,16,DiyDog,55,10.5,14,1093,1013,15,Y,65,90,19,NULL,NULL
18,Zeitgeist,7,17,DiyDog,42,4.9,32,1047,1010,120,N,65,75,15,NULL,NULL
19,Bad Pixie,4,18,DiyDog,55,4.7,45,1047,1010,8,Y,67,75,19,NULL,NULL
20,Chaos Theory,68,19,DiyDog,55,7.1,90,1067,1013,15,N,65,75,19,NULL,NULL
21,Zephyr,43,20,DiyDog,61,12.5,125,1087,1016,40,Y,65,75,21,NULL,NULL
22,Coffee Imperial Stout,67,21,DiyDog,55,9,65,1080,1019,97,Y,64,90,19,NULL,NULL
23,Devine Rebel (Aged),77,22,DiyDog,55,12.5,100,1093,1030,36,N,65,90,19,NULL,NULL
24,77 Lager,18,22,DiyDog,49,4.9,30,1047,1009,12,N,65,75,10,NULL,NULL
25,Atlantic IPA,68,24,DiyDog,55,8,80,1074,1013,55,N,65,75,19,NULL,NULL
26,How to Disappear Completely,75,25,DiyDog,54,3.5,198,1037,1010,37,N,65,75,19,NULL,NULL
27,5AM Saint,19,26,DiyDog,55,5,30,1050,1012,60,N,62,75,19,NULL,NULL
28,Tokyo Rising Sun Highland,67,27,DiyDog,50,13.2,85,1125,1023,140,Y,65,75,21,NULL,NULL
29,Tokya Rising Sun - Lowland,67,28,DiyDog,50,13.2,85,1125,1023,140,Y,65,75,21,NULL,NULL
30,Tokyo,67,29,DiyDog,50,16.5,85,1157,1028,250,Y,65,75,21,NULL,NULL
