ID,Yeast,Wyeast,WhiteLabs,OtherDry,IsDry,Attenuation
1,Brewferm Blanche,NULL,WLP-410,NULL,Y,80
2,Brewfrem Lager,2565,WLP-003,NULL,Y,80
3,Coopers Ale,NULL,WLP-009,NULL,Y,80
4,Danstar Belle Saison,3724,WLP-565,M29,Y,83
5,Danstar BRY-97,1056,WLP-001,Safale US-05,Y,75
6,Danstar Munich Wheat,3638,WLP-351,NULL,Y,85
7,Danstar Nottingham,NULL,WLP-039,NULL,Y,80
8,Danstar Windsor,1028,WLP-013,NULL,Y,70
10,M15 Empire Ale,1968,WLP-002,Munton's Gold,Y,72
11,M20 Bavarian Wheat,3638,WLP-830,NULL,Y,72
12,M21 Belgian Wit,3944,WLP-400,NULL,Y,72
13,M29 French Saison,3724,WLP-565,Belle Saison,Y,87
14,M31 Belgian Tripel,3787,WLP-530,NULL,Y,85
16,M36 Liberty Bell Ale,1272,WLP-051,NULL,Y,76
18,M41 Belgian Ale,3724,WLP-565,NULL,Y,85
22,M42 New World Strong Ale,NULL,WLP-090,NULL,Y,79
23,M44 US West Coast,1764,NULL,Safale US-05,Y,81
24,M47 Belgian Abbey,1762,WLP-540,Belle Saison,Y,75
25,M54 Californian Lager,2112,WLP-810,NULL,Y,79
26,M76 Bavarian Lager,2206,WLP-820,Saflager S-23 Continental Lager,Y,77
28,M84 Bohemian Lager,2124,WLP-830,Saflarger 34/70,Y,74
29,Muton's Ale Yeast,1968,WLP-002,NULL,Y,80
30,SafAle BE-134 Belgian Saison,NULL,NULL,NULL,Y,90
31,SafAle BE-256 Belgian Abbey,NULL,NULL,NULL,Y,82
32,SafAle F-2 Refermentation,NULL,NULL,NULL,Y,80
33,SafAle K-97 German Ale/Belgian Wheat,1007,WLP-036,NULL,Y,81
34,SafAle S-04 English Ale,1098,WLP-007,NULL,Y,75
35,SafAle US-05 American Ale,1056,WLP-001,M44,Y,81
36,SafAle S-33 British Ale,1187,WLP-006,NULL,Y,70
38,SafAle T-58 Dry Ale (Belgian Saison),3724,WLP-565,NULL,Y,70
40,SafAle WB-06 Wheat Beer,3333,WLP-380,NULL,Y,86
42,SafLager S189 Swiss Lager,NULL,WLP-885,NULL,Y,84
43,SafLager S-23 Continental Lager,2565,WLP-003,M76,Y,82
44,SafLarger 34/70 German Lager,2124,WLP-830,M84,Y,83
46,Danstar London ESB,1968,WLP-002,NULL,Y,75
49,Wyeast 2007 Pilsen Lager,NULL,NULL,NULL,N,75
50,WLP-099 Super High Gravity Ale,NULL,NULL,NULL,N,100
51,Wyeast 1010 American Wheat,NULL,NULL,NULL,N,78
52,Wyeast 3711 French Saison,NULL,NULL,NULL,N,83
53,WLP-4000 Vermont Ale,NULL,NULL,NULL,N,82
54,Wyeast 3522 Belgian Ardennes,NULL,NULL,NULL,N,76
55,Wyeast 1056 American Ale,NULL,NULL,NULL,N,77
56,Wyeast 3638  Bavarian Wheat,NULL,NULL,NULL,N,76
57,Wyeast 3944 Belgian Witbier,NULL,NULL,NULL,N,76
58,Wyeast 1098 British Ale,NULL,NULL,NULL,N,75
59,Wyeast 1187 Ringwood Ale,NULL,NULL,NULL,N,72
60,Wyeast 1214 Belgian Abbey,NULL,NULL,NULL,N,78
61,Wyeast 1272 American Ale II,NULL,NULL,NULL,N,76
62,Wyeast 1275 Thames Valley Ale,NULL,NULL,NULL,N,76
63,Wyeast 1388 Belgian Strong Ale,NULL,NULL,NULL,N,78
64,Wyeast 1762 Belgian Abbey II,NULL,NULL,NULL,N,77
65,Wyeast 1768 English Special Bitter,NULL,NULL,NULL,N,71
66,Wyeast 1968 London ESB Ale,NULL,NULL,NULL,N,71
67,Wyeast 2112 California Lager,NULL,NULL,NULL,N,71
68,Wyeast 2124 Bohemian Lager,NULL,NULL,NULL,N,77
69,Wyeast 2206 Bavarian Lager,NULL,NULL,NULL,N,77
70,Wyeast 2247 European Lager,NULL,NULL,NULL,N,77
71,Wyeast 2565 Kolsch,NULL,NULL,NULL,N,77
72,Wyeast 3068 Weihenstephan Weizen,NULL,NULL,NULL,N,77
73,Wyeast 3333 German Wheat,NULL,NULL,NULL,N,76
74,Wyeast 3724 Belgian Saison,NULL,NULL,NULL,N,80
75,Wyeast 3787 Trappist High Gravity,NULL,NULL,NULL,N,78
76,WLP-351 Bavarian Weizen,NULL,NULL,NULL,N,77
77,WLP-500 Monastery Ale,NULL,NULL,NULL,N,80
78,WLP-410 Belgian Wit Ale II,NULL,NULL,NULL,N,75
79,WLP-003 German Ale II,NULL,NULL,NULL,N,80
80,WLP-001 California Ale,NULL,NULL,NULL,N,80
81,WLP-002 English Ale,NULL,NULL,NULL,N,70
82,WLP-005 British Ale,NULL,NULL,NULL,N,74
83,WLP-006 Bedford Ale,NULL,NULL,NULL,N,80
84,WLP-007 Dry English Ale,NULL,NULL,NULL,N,80
85,WLP-009 Australian Ale,NULL,NULL,NULL,N,75
86,WLP-013 London Ale,NULL,NULL,NULL,N,75
87,WLP-023 Burton Ale,NULL,NULL,NULL,N,75
88,WLP-029 German/Kolsch Ale,NULL,NULL,NULL,N,78
89,WLP-036 Dusseldorf Alt Ale,NULL,NULL,NULL,N,72
90,WLP-039 East Midlands Ale,NULL,NULL,NULL,N,82
91,WLP-051 California Ale V,NULL,NULL,NULL,N,75
92,WLP-090 San Diego Super,NULL,NULL,NULL,N,83
93,WLP-565 Belgian Saison I,NULL,NULL,NULL,N,75
94,WLP-300 Hefeweizen Ale,NULL,NULL,NULL,N,76
95,WLP-380 Hefeweizen Ale IV,NULL,NULL,NULL,N,80
96,WLP-400 Belgian Wit Ale,NULL,NULL,NULL,N,78
97,WLP-510 Bastogne Belgian Ale,NULL,NULL,NULL,N,80
98,WLP-530 Belgian Abbey,NULL,NULL,NULL,N,80
99,WLP-540 Belgian Abbey IV,NULL,NULL,NULL,N,82
100,WLP-550 Belgian Ale,NULL,NULL,NULL,N,85
102,WLP-570 Belgian Golden Ale,NULL,NULL,NULL,N,78
103,WLP-810 San Francisco Lager,NULL,NULL,NULL,N,70
104,WLP-820 Oktoberfest/Marzen Lager,NULL,NULL,NULL,N,73
105,WLP-830 German Lager,NULL,NULL,NULL,N,79
106,WLP-885 Zurich Lager,NULL,NULL,NULL,N,80
107,WLP-920 Old Bavarian Lager,NULL,NULL,NULL,N,73
108,Wyeast 1028 London Ale,NULL,NULL,NULL,N,77
109,Muntons Gold,NULL,NULL,NULL,Y,80
110,Wyeast 1007 German Ale,NULL,NULL,NULL,N,77
111,Wyeast 1087 Bohemian Ale,NULL,NULL,NULL,N,72
112,Wyeast 3056 Bavarian Wheat Blend,NULL,NULL,NULL,N,77
113,Westvleteren 12 (Harvested),NULL,NULL,NULL,N,0
114,Champange,NULL,NULL,NULL,Y,75
