ID,RecipeID,Weight,HopID,StepID
4,9,17.5,19,2
5,1,27.5,19,3
6,1,17.5,83,2
7,1,17.5,83,3
8,1,17.5,44,3
9,2,20,19,1
10,2,20,19,2
11,2,27.5,19,3
12,2,47.5,19,4
13,2,12.5,2,1
14,2,12.5,2,2
15,2,12.5,2,3
16,2,37.5,2,4
17,2,12.5,59,3
18,2,37.5,59,4
19,2,12.5,45,3
20,2,20,45,4
21,2,37.5,13,4
22,2,10,3,4
23,3,25,3,1
24,3,12.5,3,2
25,3,50,3,3
26,3,12.5,10,3
27,4,14.300000000000001,21,1
28,4,21.399999999999999,21,3
29,4,14.300000000000001,82,1
30,4,21.399999999999999,82,3
31,4,21.399999999999999,13,3
32,5,12.5,13,1
33,5,25,13,3
34,5,25,19,3
35,5,12.5,44,3
36,5,12.5,57,1
37,6,75,21,1
38,6,25,21,2
39,6,25,57,3
40,6,25,31,3
43,9,25,3,1
44,9,20,59,3
45,9,25,3,3
46,9,20,83,3
47,9,50,59,4
48,9,50,3,4
50,9,20,84,3
52,1,17.5,2,1
53,1,15,19,1
55,8,75,21,1
56,8,25,21,2
57,8,25,57,3
58,8,25,31,3
59,10,2,45,1
60,10,5,45,3
61,10,2.5,3,3
62,12,15.5,85,1
63,12,10.199999999999999,85,1
64,12,6.0999999999999996,44,2
65,12,12.5,85,3
66,12,25,44,3
67,12,12.5,3,3
68,13,15,2,1
69,13,17.5,19,1
70,13,17.5,83,2
71,13,17.5,19,2
72,13,17.5,2,3
73,13,27.5,19,3
74,13,17.5,83,3
75,13,17.5,44,3
76,14,12.5,57,1
77,14,12.5,13,1
78,14,25,13,3
79,14,25,19,3
80,14,12.5,44,3
81,15,13.800000000000001,3,1
82,15,13.800000000000001,59,1
83,15,26.300000000000001,3,3
84,15,18.800000000000001,44,3
85,16,30,3,1
86,16,10,3,3
87,16,10,12,3
88,17,66.700000000000003,39,3
89,49,18.5,31,1
90,49,12.5,66,1
91,49,6.5,35,1
92,48,5,39,1
93,48,25,31,2
94,48,25,31,3
95,48,25,60,3
96,47,75,31,1
97,47,74,33,1
98,47,62.5,33,3
99,46,30,21,1
100,46,40,21,2
101,46,40,17,2
102,46,40,59,2
103,46,40,21,3
104,46,40,17,3
105,46,40,59,3
106,46,60,21,4
107,46,70,17,4
108,46,70,59,4
109,45,18.800000000000001,19,1
110,45,18.800000000000001,17,1
111,45,12.5,19,2
112,45,12.5,17,2
113,45,62.5,19,3
114,45,62.5,17,3
115,45,62.5,2,3
116,45,17.5,19,4
117,45,175,17,4
118,45,150,2,4
119,44,25,12,1
120,44,25,12,2
121,44,25,12,3
122,43,50,21,1
123,43,50,17,1
124,43,12.5,21,2
125,43,12.5,17,2
126,43,37.5,21,0
127,44,37.5,17,3
128,44,37.5,59,3
129,42,25,57,1
130,42,31.300000000000001,31,1
131,40,25,13,1
132,40,18.800000000000001,13,3
133,40,18.800000000000001,17,3
134,40,25,3,3
135,40,31.5,59,3
136,39,15,45,1
137,39,10,3,3
138,39,30,45,3
139,38,30.800000000000001,21,1
140,38,19.199999999999999,21,1
141,38,19.199999999999999,21,2
142,38,19.199999999999999,17,2
143,38,19.199999999999999,59,2
144,38,19.199999999999999,21,3
145,38,19.199999999999999,17,3
146,38,19.199999999999999,59,3
147,38,115.40000000000001,17,4
148,38,96.200000000000003,21,4
149,38,96.200000000000003,59,4
150,38,76.900000000000006,3,4
151,37,30.800000000000001,21,1
152,37,19.199999999999999,21,1
153,37,19.199999999999999,21,2
154,37,19.199999999999999,17,2
155,37,19.199999999999999,59,2
156,37,19.199999999999999,21,3
157,37,19.199999999999999,17,3
158,37,19.199999999999999,59,3
159,37,115.40000000000001,17,4
160,37,96.200000000000003,21,4
161,37,96.200000000000003,59,4
162,37,76.900000000000006,3,4
163,36,31.100000000000001,21,1
164,36,12.5,21,2
165,36,12.5,59,2
166,36,12.5,19,2
167,36,25,21,3
168,36,25,59,3
169,36,25,19,3
170,36,87.5,21,4
171,36,87.5,59,4
172,36,75,19,4
173,35,43.799999999999997,13,1
174,35,81.299999999999997,13,3
175,35,250,13,4
176,34,5,59,1
177,34,6.2999999999999998,3,1
178,34,2.5,59,2
179,34,5,3,2
180,34,5,44,2
181,34,12.5,59,3
182,34,12.5,3,3
183,34,12.5,44,3
184,34,12.5,59,4
185,34,12.5,3,4
186,34,12.5,44,4
187,33,6.2999999999999998,3,1
188,33,5,59,1
189,33,6.2999999999999998,17,1
190,33,6.2999999999999998,3,2
191,33,2.5,59,2
192,33,6.2999999999999998,17,2
193,33,5,3,3
194,33,5,59,3
195,33,12.5,13,3
196,33,12.5,2,3
197,33,50,17,4
198,33,50,13,4
199,33,25,2,4
200,33,25,59,4
201,33,37.5,21,4
202,32,12.5,39,1
203,32,31.300000000000001,86,1
204,32,12.5,39,2
205,32,12.5,86,3
206,32,25,17,3
207,32,25,3,3
208,31,17.5,2,1
209,31,15,19,1
210,31,17.5,83,2
211,31,17.5,19,2
212,31,17.5,2,3
213,31,27.5,19,3
214,31,17.5,83,3
215,31,17.5,44,3
216,31,30,19,4
217,30,37.5,19,1
218,30,37.5,82,1
219,30,37.5,19,2
220,30,37.5,82,2
221,30,25,82,3
222,30,25,31,3
223,30,25,19,3
224,29,37.5,19,1
225,29,37.5,82,1
226,29,37.5,19,2
227,29,37.5,82,2
228,29,25,82,3
229,29,25,31,3
230,29,25,19,3
231,28,37.5,19,1
232,28,37.5,82,1
233,28,37.5,19,2
234,28,37.5,82,2
235,28,25,82,3
236,28,25,31,3
237,28,25,19,3
238,27,2.5,13,1
239,27,2.5,3,1
240,27,2.5,45,2
241,27,12.5,3,3
242,27,12.5,45,3
243,27,25,59,4
244,27,50,13,4
245,27,25,2,4
246,27,12.5,45,4
247,27,50,17,4
248,27,25,3,4
249,26,75,17,1
250,26,25,17,2
251,26,25,21,2
252,26,18.800000000000001,17,3
253,26,18.800000000000001,21,3
254,26,18.800000000000001,82,3
255,26,18.800000000000001,59,3
256,25,146,31,1
257,25,47,24,2
258,25,46,33,2
259,25,62.5,10,3
260,25,104,24,4
261,24,37.5,36,1
262,24,25,36,2
263,24,37.5,78,2
264,24,25,57,3
265,23,100,45,1
266,23,100,45,3
267,22,25,19,1
268,22,25,82,1
269,22,25,82,3
270,22,25,31,3
271,21,31,21,1
272,21,19.5,21,1
273,21,19.5,21,2
274,21,19.5,17,2
275,21,19.5,59,2
276,21,19.5,21,3
277,21,19.5,17,3
278,21,19.5,59,3
279,21,115.5,17,4
280,21,96,21,4
281,21,96,59,4
282,21,77,3,4
283,20,12.5,45,1
284,20,25,45,2
285,20,50,45,3
286,19,18.75,31,1
287,19,25,31,3
288,19,16.25,60,3
289,18,27.199999999999999,13,1
290,18,27.199999999999999,13,3
291,16,,0,0
292,50,125,33,1
293,50,37.5,33,3
294,51,37.5,21,1
295,51,37.5,21,2
296,51,18.5,31,2
297,51,12.5,44,2
298,51,18.5,31,3
299,51,12.5,87,2
300,51,12.5,44,3
301,51,12.5,87,3
302,52,50,31,1
303,52,50,31,3
304,53,25,21,1
305,53,25,17,1
306,53,12.5,21,3
307,53,12.5,17,3
308,53,25,45,3
309,53,37.5,10,3
310,53,71.5,45,4
311,53,71.5,10,4
312,53,71.5,59,4
313,54,60,10,1
314,54,50,10,3
315,55,2.5,20,1
316,55,10,20,2
317,55,37.5,20,3
318,56,37.5,45,1
319,56,50,45,3
320,57,14.5,60,1
321,57,20,60,3
322,58,60,57,1
323,58,60,57,2
324,58,60,57,3
325,59,8.5,20,1
326,59,62.5,20,3
