Source2,Number,Name,YeastID,ID,ABV,IBU,OG,FG,EBC,HasAdjucts,MashTemp,MashTime,Fermentation
DiyDog,1,Punk IPA 2007,1,1,6,60,1056,1010,17,N,65,75,19
DiyDog,2,Punk IPA 2010,35,2,5.5999999999999996,40,1053,1011,15,N,66,75,19
DiyDog,3,The Physics,35,3,5,47,1048.5,1011,65,N,65,75,19
DiyDog,4,Riptide,16,4,8,45,1075,1014,240,Y,65,75,20
DiyDog,5,Hop Rocker,42,5,5.5,40,1052,1010,25,N,65,75,10
DiyDog,5,Paradox Islay,16,6,10,55,1090,1014,300,Y,65,90,21
DiyDog,7,Paradox Jura,16,8,10,55,1128,1014,300,Y,65,75,19
DiyDog,8,Peroxide Punk,35,9,4,40,1039,1009,18,N,65,75,19
DiyDog,9,Hype,16,10,4.0999999999999996,65,1042,1010,17,N,65,75,19
DiyDog,10,Buzz,35,11,4.5,60,1044,1010,20,N,64,75,19
DiyDog,11,Edge,35,12,2.7000000000000002,36,1033,1010,57,N,65,75,19
DiyDog,12,Storm,35,13,8,60,1082,1010,12,y,65,75,19
DiyDog,13,Cult Lager,42,14,5.4000000000000004,50,1049,1008,19,N,65,75,10
DiyDog,14,Trashy Blonde,35,15,4.0999999999999996,41.5,1041.7,1010,15,N,69,75,18
DiyDog,15,Original Dogma,35,16,7.7999999999999998,60,1071.3,1012,31,Y,64,75,21
DiyDog,16,AB:03,35,17,10.5,14,1093,1013,,Y,65,90,19
DiyDog,17,Zeitgeist,42,18,4.9000000000000004,32,1047.5,1010,120,N,65,75,15
DiyDog,18,Bad Pixie,35,19,4.7000000000000002,45,1047,1010,8,Y,67,75,19
DiyDog,19,Chaos Theory,35,20,7.0999999999999996,90,1067,1013,15,,65,75,19
DiyDog,20,Zephyr,16,21,12.5,125,1087,1016,40,Y,65,75,21
DiyDog,21,Coffee Imperial Stout,35,22,9,65,1080,1019,97,Y,64,90,19
DiyDog,22,Devine Rebel,35,23,12.5,100,1093,1030,36,,65,90,19
DiyDog,22,77 Lager,49,24,4.9000000000000004,30,1047,1009,12,N,65,75,10
DiyDog,24,Atlantic IPA,35,25,8,80,1074,1013,55,,65,75,19
DiyDog,25,How to Disappear Completely,18,26,3.5,198,1037,1010,37,N,65,75,19
DiyDog,26,5AM Saint,35,27,5,30,1050,1012,60,N,62,75,19
DiyDog,27,Tokyo Rising Sun Highland,50,28,13.199999999999999,85,1125,1023,140,Y,65,75,21
DiyDog,28,Tokya Rising Sun - Lowland,50,29,13.199999999999999,85,1125,1023,140,Y,65,75,21
DiyDog,29,Tokyo,50,30,16.5,85,1157,1028,250,Y,65,75,21
DiyDog,30,Punk Monk,18,31,6,60,1056,1010,17,N,65,75,19
DiyDog,31,Bashah,18,32,9.6999999999999993,100,1088,1015,30,,65,75,19
DiyDog,32,Nanny State,35,33,0.5,55,1007,1005,30,N,65,30,19
DiyDog,34,Eurotrash,18,34,4.0999999999999996,52,1041,1010,17,N,66,90,19
DiyDog,35,Movember,35,35,4.5,50,1047,1012,140,N,68,50,19
DiyDog,36,Black Dog,35,36,5.5,60,1062,1020,230,N,68,90,19
DiyDog,37,Hardcore IPA,16,37,9.1999999999999993,125,1085,1016,40,,65,75,21
DiyDog,38,Sink The Bismarck,16,38,41,0,1085,1016,40,,65,75,21
DiyDog,39,Alpha Dog,35,39,4.5,42,1046,1012,62,N,65,25,22
DiyDog,40,Skull Candy,35,40,3.5,33,1038,1012,50,N,65,75,19
DiyDog,41,AB:01,0,41,10.199999999999999,20,1095,1018,16,Y,63,90,22
DiyDog,42,AB:07,42,42,12.5,30,1106,1020,84,Y,65,105,11
DiyDog,43,Prototype 27,16,43,9.1999999999999993,149,1083,1014,20,,65,90,19
DiyDog,44,TM10,4,44,5.5,20,1048,1005,14,N,63,75,22
DiyDog,45,AB:02,16,45,18,70,1150,1010,57,Y,65,75,22
DiyDog,46,HardKogt IPA,16,46,7.5,175,1072,1014,40,,63,75,21
DiyDog,47,AB:04,16,47,15,80,1113,1018,400,Y,63,90,21
DiyDog,48,Alice Porter,35,48,5.2000000000000002,55,1053,1013,165,Y,66,75,19
DiyDog,49,Santa Paws,35,49,4.5,35,1048,1013,44,Y,65,90,19
DiyDog,50,AB:09,0,50,11.6,77,1110,1022,265,,65,120,21
DiyDog,51,Black Tokyo Horizon,17,51,17.199999999999999,75,1156,1030,128,Y,65,90,19
DiyDog,52,AB:05,18,52,12.5,40,1126,1030,180,Y,65,75,22
DiyDog,53,Hello My Name is Ingrid,16,53,8.1999999999999993,42,1078,1013,70,,65,75,19
DiyDog,54,Bramling X,35,54,7.5,75,1068,1013,22,,65,75,19
DiyDog,55,Citra,35,55,7.5,70,1068,1013,30,,65,75,19
DiyDog,56,Nelson Sauvin,35,56,7.5,75,1068,1013,30,,65,75,19
DiyDog,57,Sorachi Ace,35,57,7.5,75,1068,1013,30,,65,75,19
DiyDog,58,Avery Brown Dredge,49,58,7.2000000000000002,59,1069,1027,10,,66,70,10
DiyDog,59,Growler,49,59,4.5,38,1042.9000000000001,1008,18,N,65,75,10
DiyDog,60,Rabiator,40,60,10.27,26,1092,1014,24,,64,60,21
DiyDog,61,AB:06,16,61,11.199999999999999,150,1098,1013,70,Y,65,90,17
DiyDog,62,Juniper Wheat Beer,51,62,5,40,1047,1008,15,Y,64,75,17
DiyDog,64,Hops Kill Nazis,16,63,7.5999999999999996,70,1073,1015,59,,68,75,20
DiyDog,65,Mr Myagi's Wasabi Stout,16,64,7.5,90,1072,1015,200,Y,65,75,21
DiyDog,66,Sunk Punk,49,65,7.0999999999999996,68,1056,1010,14,Y,65,75,10
DiyDog,67,AB:10,16,66,11.5,80,1096,1020,115,,69,45,20
DiyDog,68,AB:18,16,67,11.800000000000001,80,1096,1020,115,Y,69,45,20
DiyDog,69,Old World India Pale Ale,16,68,7.5,80,1069,1012,50,,65,75,22
DiyDog,70,Old World Russian Imperial Stout,16,69,9.5,80,1075,1014,195,,64,19,19
DiyDog,71,Lost Dog,16,70,10,35,1080,1012,80,Y,65,75,19
DiyDog,72,AB:08,16,71,10.43,65,1095,1016,23,Y,65,75,21
DiyDog,72,Sunmaid Stout,16,72,10.199999999999999,50,1102,1026,197,,65,55,21
DiyDog,74,Shareholder Black IPA,35,73,7.0999999999999996,80,1067,1014,71,Y,66,90,19
DiyDog,75,AB:13,16,74,11.300000000000001,50,1098,1020,164,Y,65,75,20
DiyDog,76,Simcoe,35,75,6.7000000000000002,70,1063,1012,30,,65,75,19
DiyDog,77,Libertine Porter,35,76,6.0999999999999996,45,1067,1020,219,N,68,35,18
DiyDog,78,Mixtape 8,18,77,14.5,50,1093,1014,40,Y,65,40,21
DiyDog,79,Bitch Please,16,78,11.5,50,1104,1016,38,Y,65,75,21
DiyDog,80,Challenger,35,79,6.7000000000000002,67,1064,1013,19,,68,75,19
DiyDog,81,Galaxy,35,80,6.7000000000000002,67,1064,1013,19,,65,75,19
DiyDog,82,HBC 369,35,81,6.7000000000000002,67,1064,1013,19,,65,75,19
DiyDog,83,Motueka,35,82,6.7000000000000002,67,1064,1013,19,,65,75,19
DiyDog,84,Dead Pony Club,35,83,3.7999999999999998,35,1040,1012,25,N,62,75,19
DiyDog,85,Libertine Black Ace,16,84,7.2000000000000002,50,1068,1013,76,,65,75,19
DiyDog,86,Anarchist Alchemist,16,85,16.5,20.5,1112,1000,20,,65,75,20
DiyDog,87,Dog A,16,86,15,90,1120,1003,100,Y,65,90,19
DiyDog,88,Hunter Foundation Pale Ale,35,87,5.4000000000000004,35,1050,1008,12,N,63,75,19
DiyDog,90,Jackhammer,16,88,7.2000000000000002,250,1065,1010,15,,65,75,21
